,Position,Track Name,Artist,Streams,URL,Song ID,index,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
73,74,Con Calma,Daddy Yankee,2829934,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,5w9c2J52mkdntKOmRLeM2m,23,0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.656
74,75,Calling My Spirit,Kodak Black,2818520,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5,2MShy1GSSgbmGUxADNIao5,24,0.0996,https://api.spotify.com/v1/audio-analysis/2MShy1GSSgbmGUxADNIao5,0.91,152000,0.366,2MShy1GSSgbmGUxADNIao5,0.0,1,0.261,-9.954,1,0.0941,119.985,4,https://api.spotify.com/v1/tracks/2MShy1GSSgbmGUxADNIao5,audio_features,spotify:track:2MShy1GSSgbmGUxADNIao5,0.74
75,76,Taste (feat. Offset),Tyga,2743732,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,5IaHrVsrferBYDm0bDyABy,25,0.0236,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,0.884,232959,0.559,5IaHrVsrferBYDm0bDyABy,0.0,0,0.101,-7.442,1,0.12,97.994,4,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,audio_features,spotify:track:5IaHrVsrferBYDm0bDyABy,0.342
76,77,Nonstop,Drake,2735034,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,0TlLq3lA83rQOYtrqBqSct,26,0.0164,https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct,0.912,238614,0.412,0TlLq3lA83rQOYtrqBqSct,0.013,7,0.104,-8.074,1,0.124,154.983,4,https://api.spotify.com/v1/tracks/0TlLq3lA83rQOYtrqBqSct,audio_features,spotify:track:0TlLq3lA83rQOYtrqBqSct,0.422
77,78,All Girls Are The Same,Juice WRLD,2711728,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,4VXIryQMWpIdGgYR4TrjT1,27,0.0769,https://api.spotify.com/v1/audio-analysis/4VXIryQMWpIdGgYR4TrjT1,0.671,165820,0.529,4VXIryQMWpIdGgYR4TrjT1,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,https://api.spotify.com/v1/tracks/4VXIryQMWpIdGgYR4TrjT1,audio_features,spotify:track:4VXIryQMWpIdGgYR4TrjT1,0.203
78,79,I Like It,Cardi B,2685307,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z,28,0.099,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.816,253390,0.726,58q2HKrzhC3ozto2nDdN4z,0.0,5,0.372,-3.998,0,0.129,136.048,4,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65
79,80,Almeda,Solange,2663610,https://open.spotify.com/track/6IAgarq2wDeYzpsY2Kx0Hw,6IAgarq2wDeYzpsY2Kx0Hw,29,0.0227,https://api.spotify.com/v1/audio-analysis/6IAgarq2wDeYzpsY2Kx0Hw,0.827,236120,0.553,6IAgarq2wDeYzpsY2Kx0Hw,1.52e-05,1,0.176,-5.296,1,0.032,110.015,4,https://api.spotify.com/v1/tracks/6IAgarq2wDeYzpsY2Kx0Hw,audio_features,spotify:track:6IAgarq2wDeYzpsY2Kx0Hw,0.0631
80,81,Almost (Sweet Music),Hozier,2658583,https://open.spotify.com/track/6UTmrvq4nRmx1iQ6iMd1FD,6UTmrvq4nRmx1iQ6iMd1FD,30,0.0215,https://api.spotify.com/v1/audio-analysis/6UTmrvq4nRmx1iQ6iMd1FD,0.523,217480,0.687,6UTmrvq4nRmx1iQ6iMd1FD,2.86e-06,7,0.203,-5.601,1,0.105,90.036,4,https://api.spotify.com/v1/tracks/6UTmrvq4nRmx1iQ6iMd1FD,audio_features,spotify:track:6UTmrvq4nRmx1iQ6iMd1FD,0.711
81,82,Be Alright,Dean Lewis,2631099,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,3EPXxR3ImUwfayaurPi3cm,31,0.697,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,0.553,196373,0.586,3EPXxR3ImUwfayaurPi3cm,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,audio_features,spotify:track:3EPXxR3ImUwfayaurPi3cm,0.443
82,83,I Fall Apart,Post Malone,2626496,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,75ZvA4QfFiZvzhj2xkaWAh,32,0.0689,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,0.556,223347,0.538,75ZvA4QfFiZvzhj2xkaWAh,0.0,8,0.196,-5.408,0,0.0382,143.95,4,https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh,audio_features,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,0.291
